CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE_Revolving loans,FLAG_OWN_CAR_No,FLAG_OWN_CAR_Yes,FLAG_OWN_REALTY_No,FLAG_OWN_REALTY_Yes,NAME_EDUCATION_TYPE_Academic degree,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,SK_ID_CURR
0,112500.0,772686.0,25056.0,553500.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,182733
0,37273.5,168102.0,17352.0,148500.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,295465
1,112500.0,781695.0,30420.0,652500.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,162901
0,180000.0,677664.0,34731.0,585000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,211857
0,135000.0,450000.0,20979.0,450000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,380704
0,126000.0,1178217.0,34578.0,922500.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,353849
1,90000.0,270000.0,13500.0,270000.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,406541
0,202500.0,1288350.0,37800.0,1125000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,428575
0,180000.0,314055.0,19215.0,238500.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,183280
0,36000.0,1223010.0,48627.0,1125000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,338291
0,67500.0,253737.0,16650.0,229500.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,343242
0,270000.0,306000.0,18621.0,306000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,381375
0,90000.0,448299.0,27373.5,387000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,386781
0,117000.0,254700.0,17149.5,225000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,142620
1,225000.0,518463.0,24300.0,364500.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,151059
0,294300.0,790830.0,62613.0,675000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,427539
0,157500.0,47970.0,5823.0,45000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,351435
0,81180.0,405000.0,15556.5,405000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,199814
0,135000.0,188460.0,8428.5,135000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,128613
1,103500.0,469152.0,31864.5,405000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,215466
0,180000.0,288000.0,9171.0,288000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,203045
0,180000.0,276277.5,21955.5,238500.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,198430
0,180000.0,332946.0,17127.0,238500.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,106723
0,270000.0,675000.0,24930.0,675000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,378863
0,225000.0,760131.0,21915.0,634500.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,274604
0,405000.0,1305000.0,38155.5,1305000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,165638
0,315000.0,685386.0,54279.0,585000.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,444156
0,220500.0,1021500.0,29992.5,1021500.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,419856
0,135000.0,450000.0,21109.5,450000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,323186
0,225000.0,473760.0,45112.5,450000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,155356
0,180000.0,450000.0,35554.5,450000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,319804
0,180000.0,948816.0,27873.0,792000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,115275
0,126000.0,270000.0,30667.5,270000.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,445558
1,360000.0,1984500.0,52479.0,1984500.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,285233
0,189000.0,225000.0,11250.0,225000.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,164999
0,67500.0,252531.0,20245.5,234000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,261334
0,247500.0,933093.0,36445.5,805500.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,387044
1,135000.0,99045.0,11884.5,85500.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,387571
